time,open,high,low,close,volume,range
2025-06-09T00:00:00+00:00,105670.8,110660.8,105252.6,110219.9,104403.41,5408.2
2025-06-10T00:00:00+00:00,110219.9,110351,108279.2,110227.5,73253.031,2071.8
2025-06-11T00:00:00+00:00,110227.5,110375.5,108006.6,108611.1,74641.258,2368.9
2025-06-12T00:00:00+00:00,108611.1,108782.5,105579.8,105600.9,95883.562,3202.7
2025-06-13T00:00:00+00:00,105600.9,106140,102626.9,106023.1,132649.75,3513.1
2025-06-14T00:00:00+00:00,106023.1,106168.8,104250,105356.7,41393.559,1918.8
2025-06-15T00:00:00+00:00,105356.7,106080,104433,105547.8,39425.367,1647
2025-06-16T00:00:00+00:00,105547.8,108955.5,104921.2,106749.3,93111.648,4034.3
2025-06-17T00:00:00+00:00,106749.3,107724.9,103303.4,104512.7,119378.02,4421.5
2025-06-18T00:00:00+00:00,104512.7,105500,103422.3,104847.3,84981.906,2077.7
2025-06-19T00:00:00+00:00,104847.3,105191.9,103864,104604.2,44669.238,1327.9
2025-06-20T00:00:00+00:00,104604.2,106499.9,102260,103243.9,99708.258,4239.9
2025-06-21T00:00:00+00:00,103243.9,103949.9,100800,102083.9,63941.582,3149.9
2025-06-22T00:00:00+00:00,102083.9,103347,98125,100904.3,163064.95,5222
2025-06-23T00:00:00+00:00,100904.3,106024.8,99581,105283.5,159898.31,6443.8
2025-06-24T00:00:00+00:00,105283.5,106269.9,104567,106048.5,73028.422,1702.9
2025-06-25T00:00:00+00:00,106048.5,108090,105750,107264,80775.07,2340
2025-06-26T00:00:00+00:00,107264,108239.6,106457.7,106905.3,60839.641,1781.9
2025-06-27T00:00:00+00:00,106905.3,107738.1,106280,106999.6,61754.117,1458.1
2025-06-28T00:00:00+00:00,106999.6,107499.9,106761,107241,16398.135,738.9
2025-06-29T00:00:00+00:00,107241,108507,107113.8,108314.8,42872.785,1393.2
2025-06-30T00:00:00+00:00,108314.8,108766.4,106677,107081.2,62330.172,2089.4
2025-07-01T00:00:00+00:00,107081.2,107484.8,105180.3,105634.8,69734.195,2304.5
2025-07-02T00:00:00+00:00,105634.8,109740.9,105058.6,108803,93107.742,4682.3
2025-07-03T00:00:00+00:00,108803,110485.7,108455.1,109540,76294.25,2030.6
2025-07-04T00:00:00+00:00,109540,109725.3,107220.3,107947.4,63635.973,2505
2025-07-05T00:00:00+00:00,107947.4,108429.2,107685.9,108144.4,17786.217,743.3
2025-07-06T00:00:00+00:00,108144.4,109685,107762.6,109160.5,39472.289,1922.4
2025-07-07T00:00:00+00:00,109160.5,109681.4,107449.6,108200,54985.477,2231.8
